taxonKey,scientificName,rank,taxonomicStatus,includes
1008955,"Fenestrulina delicia Winston, Hayward & Craig, 2000",SPECIES,ACCEPTED,"1008955: Fenestrulina delicia Winston, Hayward & Craig, 2000"
1031394,"Ectopsocus petersi Smithers, 1978",SPECIES,ACCEPTED,"1031394: Ectopsocus petersi Smithers, 1978"
1031400,"Ectopsocus briggsi McLachlan, 1899",SPECIES,ACCEPTED,"1031400: Ectopsocus briggsi McLachlan, 1899"
1031684,"Lepinotus patruelis Pearman & J.V., 1931",SPECIES,ACCEPTED,"1031684: Lepinotus patruelis Pearman & J.V., 1931"
1031737,"Psyllipsocus ramburii Selys-Longchamps, 1872",SPECIES,ACCEPTED,"1031737: Psyllipsocus ramburii Selys-Longchamps, 1872"
1031742,"Dorypteryx domestica (Smithers & Courtenay, 1958)",SPECIES,ACCEPTED,"1031742: Dorypteryx domestica (Smithers & Courtenay, 1958)"
1043717,"Cryptolaemus montrouzieri Mulsant, 1853",SPECIES,ACCEPTED,"1043717: Cryptolaemus montrouzieri Mulsant, 1853"
1152186,"Callidiellum rufipennis (Motschulsky, 1861)",SPECIES,ACCEPTED,"1152188: Callidiellum rufipenne N.Ohbayashi, Kimura & Satô, 1994"
1311477,"Vespa velutina Lepeletier, 1836",SPECIES,ACCEPTED,"1311477: Vespa velutina Lepeletier, 1836 | 6247411: Vespa velutina nigrithorax Buysson, 1905"
1313740,"Camponotus vagus (Scopoli, 1763)",SPECIES,ACCEPTED,"1313740: Camponotus vagus (Scopoli, 1763)"
1314773,"Monomorium pharaonis (Linnaeus, 1758)",SPECIES,ACCEPTED,"1314773: Monomorium pharaonis (Linnaeus, 1758)"
1316805,"Tapinoma melanocephalum (Fabricius, 1793)",SPECIES,ACCEPTED,"1316805: Tapinoma melanocephalum (Fabricius, 1793)"
1316908,"Linepithema humile (Mayr, 1868)",SPECIES,ACCEPTED,"1316908: Linepithema humile (Mayr, 1868)"
1320777,"Plagiolepis pygmaea (Latreille, 1798)",SPECIES,ACCEPTED,"1320777: Plagiolepis pygmaea (Latreille, 1798)"
1322674,"Pheidole anastasii Emery, 1896",SPECIES,ACCEPTED,"1322674: Pheidole anastasii Emery, 1896"
1323402,"Tetramorium bicarinatum (Nylander, 1846)",SPECIES,ACCEPTED,"1323402: Tetramorium bicarinatum (Nylander, 1846)"
1325561,"Paratrechina longicornis (Latreille, 1802)",SPECIES,ACCEPTED,"1325561: Paratrechina longicornis (Latreille, 1802)"
1326634,"Hypoponera punctatissima (Roger, 1859)",SPECIES,ACCEPTED,"1326634: Hypoponera punctatissima (Roger, 1859)"
1421095,"Ctenolepisma lineata (Fabricius, 1775)",SPECIES,ACCEPTED,"1421095: Ctenolepisma lineata (Fabricius, 1775)"
1421105,"Thermobia domestica (Packard, 1873)",SPECIES,ACCEPTED,"1421105: Thermobia domestica (Packard, 1873)"
1450317,"Telmatogeton japonicus Tokunaga, 1933",SPECIES,ACCEPTED,"1450317: Telmatogeton japonicus Tokunaga, 1933"
1651430,"Aedes albopictus Skuse, 1894",SPECIES,ACCEPTED,"1651430: Aedes albopictus Skuse, 1894"
1652150,"Aedes koreicus (Edwards, 1917)",SPECIES,ACCEPTED,"10007333: BOLD:ACB6413 | 1652150: Aedes koreicus (Edwards, 1917)"
1652212,"Aedes japonicus (Theobald, 1901)",SPECIES,ACCEPTED,"1652212: Aedes japonicus (Theobald, 1901) | 7346173: Aedes japonicus japonicus | 10094233: BOLD:AAC5210 | 4519733: Ochlerotatus japonicus (Theobald, 1901)"
1690429,"Meconema meridionale A.Costa, 1860",SPECIES,ACCEPTED,"1690429: Meconema meridionale A.Costa, 1860"
1702101,"Anacridium aegyptium (Linnaeus, 1764)",SPECIES,ACCEPTED,"1702101: Anacridium aegyptium (Linnaeus, 1764)"
1713034,"Gryllus bimaculatus De Geer, 1773",SPECIES,ACCEPTED,"1713034: Gryllus bimaculatus De Geer, 1773"
1718308,"Acheta domesticus (Linnaeus, 1758)",SPECIES,ACCEPTED,"1718308: Acheta domesticus (Linnaeus, 1758)"
1719204,"Gryllomorpha dalmatina (Ocskay, 1832)",SPECIES,ACCEPTED,"1719204: Gryllomorpha dalmatina (Ocskay, 1832)"
1722140,"Eumodicogryllus bordigalensis (Latreille, 1804)",SPECIES,ACCEPTED,"1722140: Eumodicogryllus bordigalensis (Latreille, 1804)"
1722299,"Gryllodes sigillatus (F.Walker, 1869)",SPECIES,ACCEPTED,"1722299: Gryllodes sigillatus (F.Walker, 1869)"
1728965,"Tachycines asynamorus Adelung, 1902",SPECIES,ACCEPTED,"1728965: Tachycines asynamorus Adelung, 1902"
1749449,"Cameraria ohridella Deschka & Dimic, 1986",SPECIES,ACCEPTED,"1749449: Cameraria ohridella Deschka & Dimic, 1986 | 10330573: BOLD:AAA1236"
1749886,"Phyllonorycter robiniella (Clemens, 1859)",SPECIES,ACCEPTED,"10423949: BOLD:AAC4327 | 1749886: Phyllonorycter robiniella (Clemens, 1859) | 8741260: Macrosaccus robiniellus (Clemens, 1859)"
1932752,"Cacyreus marshalli Butler, 1898",SPECIES,ACCEPTED,"1932752: Cacyreus marshalli Butler, 1898"
